tenant_a,topic_a,tenant_b,topic_b,shared_keys,keys
refdata,genome,ese,environment,1,sample_id
refdata,genome,ese,integration,1,sample_id
refdata,genome,enigma,taxonomy,1,sample_id
refdata,genome,protect,integration,1,sample_id
refdata,genome,nmdc,integration,1,sample_id
refdata,genome,protect,annotation,1,sample_id
refdata,genome,kescience,fitness_phenotype,1,lat_lon
refdata,genome,protect,taxonomy,1,sample_id
nmdc,biochemistry,refdata,structural,1,ec_number
nmdc,biochemistry,protect,annotation,1,ec_number
nmdc,annotation,planetmicrobe,annotation,1,pfam
nmdc,annotation,protect,multiomics,1,reaction_id
nmdc,annotation,refdata,mobile_phage,1,pfam
nmdc,annotation,kescience,structural,1,pfam
nmdc,annotation,protect,integration,1,kegg_ko
kescience,fitness_phenotype,kbase,biochemistry,1,compound_id
kescience,fitness_phenotype,usgs,field_observational,1,lat_lon
kescience,fitness_phenotype,refdata,mobile_phage,1,lat_lon
kescience,fitness_phenotype,msyscolo,field_observational,1,lat_lon
kescience,fitness_phenotype,arkinlab,field_observational,1,lat_lon
arkinlab,annotation,kescience,fitness_phenotype,1,ec_number
kescience,fitness_phenotype,nmdc,integration,1,compound_id
kescience,fitness_phenotype,refdata,structural,1,ec_number
kescience,fitness_phenotype,nmdc,biochemistry,1,ec_number
kescience,fitness_phenotype,nmdc,annotation,1,ec_number
enigma,annotation,refdata,structural,1,ec_number
enigma,annotation,nmdc,biochemistry,1,ec_number
enigma,annotation,kescience,fitness_phenotype,1,ec_number
arkinlab,annotation,refdata,structural,1,ec_number
arkinlab,annotation,protect,annotation,1,ec_number
