orgId	locusId	sysName	geneName	desc	set1S88 D-Glucose (C); 20C	set1S89 Tween 20 (C), 20C	set1S90 D-Glucose (C); 30C	set1S91 Tween 20 (C), 30C
Brev2	A4249_RS01255	A4249_RS01255		phage tail tube protein	-0.170	-0.129	-0.140	0.014
Brev2	A4249_RS01265	A4249_RS01265		hypothetical protein	0.110	-0.011	0.085	-0.048
Brev2	A4249_RS01270	A4249_RS01270		DUF6441 family protein	-0.131	-0.270	-0.184	-0.155
Brev2	A4249_RS01275	A4249_RS01275		hypothetical protein	-0.023	0.589	-0.116	0.089
Brev2	A4249_RS01280	A4249_RS01280		major capsid protein	0.054	0.160	0.123	0.090
Brev2	A4249_RS01285	A4249_RS01285		head decoration protein	-0.193	0.310	0.568	0.343
Brev2	A4249_RS01290	A4249_RS01290		S49 family peptidase	-0.586	-0.055	-0.068	0.001
Brev2	A4249_RS01295	A4249_RS01295		phage portal protein	-0.012	0.095	0.100	-0.015
Brev2	A4249_RS01300	A4249_RS01300		gpW family head-tail joining protein	0.110	0.201	0.046	0.222
Brev2	A4249_RS01305	A4249_RS01305		phage terminase large subunit family protein	-0.091	0.011	-0.014	0.064
Brev2	A4249_RS01310	A4249_RS01310		hypothetical protein	-0.205	-0.069	0.443	0.523
Brev2	A4249_RS01315	A4249_RS01315		hypothetical protein	-0.522	-0.363	-1.206	-0.344
Brev2	A4249_RS01320	A4249_RS01320		hypothetical protein	-0.037	0.162	-0.011	0.024
Brev2	A4249_RS01325	A4249_RS01325		hypothetical protein	-0.345	0.192	0.322	-0.392
Brev2	A4249_RS01340	A4249_RS01340		phosphoadenosine phosphosulfate reductase family protein	-0.108	-0.303	-0.314	-0.443
Brev2	A4249_RS01355	A4249_RS01355		hypothetical protein	0.432	0.343	0.025	0.105
Brev2	A4249_RS01400	A4249_RS01400		ParB N-terminal domain-containing protein	0.268	-0.023	-0.817	-0.106
Brev2	A4249_RS01405	A4249_RS01405		hypothetical protein	-0.389	-0.308	-0.540	-0.001
Brev2	A4249_RS01410	A4249_RS01410		hypothetical protein	-0.095	-0.341	-0.184	-0.472
Brev2	A4249_RS01415	A4249_RS01415		phage Gp37/Gp68 family protein	-0.452	-0.952	0.325	0.312
Brev2	A4249_RS01420	A4249_RS01420		hypothetical protein	0.050	0.052	0.034	0.246
Brev2	A4249_RS01425	A4249_RS01425		hypothetical protein	0.016	0.132	-0.008	0.097
Brev2	A4249_RS01430	A4249_RS01430		DUF2786 domain-containing protein	-0.172	-0.067	-0.029	0.109
Brev2	A4249_RS01440	A4249_RS01440		tyrosine-type recombinase/integrase	0.064	-0.107	0.120	-0.005
Brev2	A4249_RS01450	A4249_RS01450		SIMPL domain-containing protein	0.107	0.027	0.197	0.151
Brev2	A4249_RS01460	A4249_RS01460		signal peptide peptidase SppA	-3.016	-1.982	-3.355	-2.937
Brev2	A4249_RS01465	A4249_RS01465		hypothetical protein	-0.566	-0.588	-1.427	-0.971
