orgId	locusId	sysName	geneName	desc	set1IT067 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1dpi	set1IT070 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1dpi	set2IT059 M63_quarter_strength	set2IT062 CPG	set2IT063 M63_quarter_strength	set4IT033 CPG	set4IT034 M63_quarter_strength
RalstoniaGMI1000	RS_RS00790	RS_RS00790		LysR family transcriptional regulator	0.022	0.195	0.173	-0.220	-0.148	-0.190	-0.083
RalstoniaGMI1000	RS_RS00795	RS_RS00795		aldehyde dehydrogenase family protein	0.019	0.434	-0.023	-0.085	-0.031	0.075	0.063
RalstoniaGMI1000	RS_RS00800	RS_RS00800		TetR/AcrR family transcriptional regulator	-0.207	-1.177	0.404	-0.380	0.058	-0.812	0.288
RalstoniaGMI1000	RS_RS00805	RS_RS00805		secretion protein HlyD	-0.044	0.104	0.008	0.050	-0.065	0.022	0.034
RalstoniaGMI1000	RS_RS00810	RS_RS00810		ABC transporter ATP-binding protein	-0.007	0.576	0.036	0.036	-0.069	0.145	-0.107
RalstoniaGMI1000	RS_RS00815	RS_RS00815		ABC transporter permease	-0.033	0.304	0.010	0.156	0.120	-0.084	0.012
RalstoniaGMI1000	RS_RS00820	RS_RS00820		RND transporter	0.029	0.145	-0.049	0.232	0.072	-0.321	-0.315
RalstoniaGMI1000	RS_RS00825	RS_RS00825		GtrA family protein	0.321	-0.693	0.192	-0.119	0.347	-0.558	0.173
RalstoniaGMI1000	RS_RS00830	RS_RS00830		FAD-dependent oxidoreductase	-0.995	-0.652	0.346	-0.665	-0.900	-0.772	-0.591
RalstoniaGMI1000	RS_RS00835	RS_RS00835		oxidoreductase	-2.239	-3.374	-0.499	-1.968	2.271	-1.211	-1.489
RalstoniaGMI1000	RS_RS00840	RS_RS00840		hypothetical protein	-0.114	-0.038	0.045	0.008	0.091	-0.017	-0.114
RalstoniaGMI1000	RS_RS00845	RS_RS00845		short-chain dehydrogenase	-1.468	-0.895	-2.439	-2.284	-1.377	-1.255	-1.093
RalstoniaGMI1000	RS_RS00850	RS_RS00850		FAD-binding oxidoreductase	-1.351	-2.300	-0.562	-0.366	-0.674	0.184	-0.009
RalstoniaGMI1000	RS_RS00855	RS_RS00855		membrane protein	0.108	-0.175	0.108	-0.080	-0.184	-0.297	0.045
RalstoniaGMI1000	RS_RS00860	RS_RS00860		2-dehydropantoate 2-reductase	0.124	0.213	-0.076	-0.164	0.021	0.190	0.085
RalstoniaGMI1000	RS_RS00865	RS_RS00865		tRNA 2-thiocytidine(32) synthetase TtcA	-0.019	-0.073	-0.014	0.115	0.169	-0.034	-0.099
RalstoniaGMI1000	RS_RS00870	RS_RS00870		hypothetical protein	-0.125	0.152	0.413	0.029	-0.147	-0.042	0.058
RalstoniaGMI1000	RS_RS00885	RS_RS00885		universal stress protein	-0.008	-0.368	0.021	-0.119	0.139	-0.055	-0.010
