genus_lower,biome_H_std,ko_per_mb_total_z,disc_per_mb_z
chlorobaculum,0.33797756088334896,1.5869461537106953,1.1248151818626824
chlorobium,0.3482021869600928,1.708469992850221,-0.0913800739067004
chryseobacterium,0.5201108287001959,-0.5310989882628186,-1.0249311564199286
chryseolinea,0.630887425045241,-1.0878817323806695,-0.44692221464077625
chthoniobacter,0.6293858288258812,-0.6019135069840797,-0.488540330923713
citrobacter,0.5200790483130584,0.5074202244804423,-0.1547057443194893
cloacibacterium,0.4126028434011933,1.005692416146021,-0.34088727188243845
clostridium,0.43431895398821324,-1.1678546911231362,-0.9790086321247065
cocleimonas,0.33105710741439787,1.3377205048277536,1.022114289798105
cohnella,0.5841485108063752,-0.9797355821835314,-0.6297848018797091
collinsella,0.3393107216425456,-0.7558398840551683,-1.861995101170879
colwellia,0.41970236656251503,0.07527302868594749,0.05722487709827606
comamonas,0.43416834357294737,-0.2884891638991239,-0.16019165952874492
coprococcus,0.18886415768956055,-1.0847781476110092,-1.1986202024070818
coraliomargarita,0.26792922755551046,0.23035961555819484,1.2076191503915512
corynebacterium,0.2876690192268086,0.339734338181597,0.986028018606301
coxiella,0.5334218606687023,-0.0012636851215030746,-0.3566028832721622
croceitalea,0.5267028253584913,2.031146800518453,0.18379233281655313
cupriavidus,0.6817447318579385,-0.4388913040414109,-0.5672644406132448
curvibacter,0.5044190435450112,0.510852692158194,0.5286799145084764
cutibacterium,0.48073057678741055,0.048903564738806325,0.7558669092252605
cyanobium,0.35892243516543587,-0.20042023642284015,0.5918659492806323
cyclobacterium,0.3940829775953781,-0.509669832427361,-0.9159439973491768
cypionkella,0.6713740964664662,-0.13985678096726514,0.4123485655688633
cytobacillus,0.6865063838274444,-0.5872543139175478,-0.12291491619753031
daejeonella,0.4454496456804238,0.38260719047726305,-0.9028474143083719
dehalobacter,0.3727766835860448,-0.18054317544193912,-0.9471612951614417
deinococcus,0.3870787178396647,-0.2541305904376237,0.45756698292723363
denitratisoma,0.3561292592801894,1.2350946748359732,-0.22198736640640235
desulfatitalea,0.3740833121504708,0.19382555116136746,-1.2038869676836352
desulfitobacterium,0.36987597632354435,-0.6704604364813488,-0.810384165295307
desulfobacter,0.5132916204652013,-0.21543360880187423,-0.4900650632320691
desulfobacula,0.6315145847906548,-0.5889708386382437,-0.9491679298596013
desulfobulbus,0.48507490096846123,0.224979846841296,-0.19301939748158933
desulfocapsa,0.4189513067673037,-0.44665520052785507,-0.8619004373305128
desulfomicrobium,0.49962462155292553,-0.42624742686585043,0.3509430863137734
desulfoprunum,0.3885125620845591,0.7550247259921485,0.7535249133981818
desulforhopalus,0.48050871373859555,0.023329323932407168,-0.556719281848079
desulfosarcina,0.47411254459012264,-0.6159038261988772,-1.0070539990321081
desulfosporosinus,0.464676728351103,-0.694795910141536,-0.8827298153282643
desulfotomaculum,0.5548769407700646,0.04253325183917755,0.07570609837685038
desulfovibrio,0.44035291553591227,0.05609960842771366,0.027590194389876078
desulfurivibrio,0.4625566582918129,2.231125399307152,2.092867996865864
desulfuromonas,0.4447453931923003,0.25669063481332477,-0.8055746743715918
devosia,0.6151150225854168,-0.49052556629727273,0.9714911601851665
dialister,0.3594338966164928,-0.10595126522037313,-0.1000140824880693
dickeya,0.49542440972948154,0.8579868417550223,0.07122836217989874
