genus_clean,n_otus_gw,mean_gw_prevalence_pct,mean_fold_enrichment_gw,genus_lower,genus_clean_lower,is_nitrifier,mean_n_metal_types
Gordonia,8,4.010160098522168,1.800470358337256,gordonia,gordonia,0,1.2142857142857142
Gracilibacillus,5,0.25862068965517243,2.7305169873656125,gracilibacillus,gracilibacillus,0,2.5
Gracilimonas,10,0.270935960591133,1.5188674783463452,gracilimonas,gracilimonas,0,1.0
Granulicatella,5,0.5911330049261083,0.6123028752059614,granulicatella,granulicatella,0,1.0
Granulosicoccus,1,0.49261083743842365,0.126178283457219,granulosicoccus,granulosicoccus,0,1.0
Gulosibacter,6,0.3899835796387521,0.6865192971928287,gulosibacter,gulosibacter,0,1.0
Guyparkeria,6,0.7594417077175698,1.8227872183206886,guyparkeria,guyparkeria,0,2.0
Haematobacter,2,3.201970443349754,0.8973650609491132,haematobacter,haematobacter,0,1.0
Haemophilus,10,0.646551724137931,3.342004953276529,haemophilus,haemophilus,0,1.4285714285714286
Halanaerobium,5,1.6625615763546802,6.34847669812066,halanaerobium,halanaerobium,0,1.0
Halapricum,2,0.12315270935960591,3.455704128311709,halapricum,halapricum,0,1.0
Haliea,4,0.2001231527093596,1.8938351283865,haliea,haliea,0,1.0
Haloactinopolyspora,2,0.6157635467980296,0.23905113095452676,haloactinopolyspora,haloactinopolyspora,0,1.0
Haloarcula,8,0.0769704433497537,155.72975796963115,haloarcula,haloarcula,0,1.1666666666666667
Halobacillus,4,0.1539408866995074,1.1400237403562892,halobacillus,halobacillus,0,1.2
Halobacterium,2,0.3694581280788177,17.17415987414506,halobacterium,halobacterium,0,1.6666666666666667
Halobellus,1,0.06157635467980296,1.8673269044431569,halobellus,halobellus,0,1.0
Halococcus,2,0.09236453201970443,97.9300954745856,halococcus,halococcus,0,1.0
Halogranum,1,0.06157635467980296,8.507981697368498,halogranum,halogranum,0,1.0
Halolactibacillus,6,0.5952380952380952,5.016263523858487,halolactibacillus,halolactibacillus,0,1.0
Halolamina,3,0.10262725779967159,3.7504792890777785,halolamina,halolamina,0,1.0
Halomicroarcula,3,0.2257799671592775,3.274262982870448,halomicroarcula,halomicroarcula,0,1.0
Halomicrobium,3,0.06157635467980296,93.35777172882702,halomicrobium,halomicrobium,0,1.0
Halomonas,26,1.0775862068965518,0.9929351698270723,halomonas,halomonas,0,1.7777777777777777
Haloplanus,7,0.1143560872624912,7.231797273886555,haloplanus,haloplanus,0,1.0
Halorhabdus,1,0.12315270935960591,4.53836627280362,halorhabdus,halorhabdus,0,1.0
Halorhodospira,4,0.354064039408867,12.567887551163816,halorhodospira,halorhodospira,0,1.0
Halorubrum,4,0.10775862068965517,5.313043361772721,halorubrum,halorubrum,0,1.7
Halorussus,3,0.10262725779967159,2.389272596723191,halorussus,halorussus,0,2.0
Halosimplex,1,0.06157635467980296,1.831292579827595,halosimplex,halosimplex,0,1.0
Halothiobacillus,5,0.9605911330049259,1.8591559358946967,halothiobacillus,halothiobacillus,0,1.0
Halovenus,5,0.14778325123152708,4.809407973794309,halovenus,halovenus,0,1.0
Helicobacter,7,0.2638986629134413,1.5596921666781907,helicobacter,helicobacter,0,1.0
Henriciella,2,1.7241379310344827,0.6705255068348145,henriciella,henriciella,0,1.4
Herbaspirillum,4,6.973522167487684,1.0614641235132607,herbaspirillum,herbaspirillum,0,1.0
Herminiimonas,3,0.24630541871921183,1.1734491087539871,herminiimonas,herminiimonas,0,1.0
Hoeflea,2,9.298029556650246,1.119673282697254,hoeflea,hoeflea,0,2.0
Hoyosella,1,0.12315270935960591,0.17598538552671508,hoyosella,hoyosella,0,1.0
Hydrocarboniclastica,1,0.8004926108374385,1.2646879188054672,hydrocarboniclastica,hydrocarboniclastica,0,2.0
