genus_lower,biome_H_std,ko_per_mb_total_z,ko_per_mb_tier1_z,ko_per_mb_tier2_z,abr_per_mb_z
cupriavidus,0.6817447318579385,-0.4388913040414109,1.5412848416457536,1.274198377595089,0.10757304636409397
curvibacter,0.5044190435450112,0.510852692158194,0.9411857121169117,0.3261683119829041,-0.2526632530901764
cutibacterium,0.48073057678741055,0.048903564738806325,-0.31122098274334237,0.3709133124159454,-0.11380161319901833
cyanobium,0.35892243516543587,-0.20042023642284015,-0.005723000155824081,-0.5437999084176225,-0.20905729201979517
cyclobacterium,0.3940829775953781,-0.509669832427361,-0.2831514072135894,-0.5539440164441497,-0.25542193878305824
cypionkella,0.6713740964664662,-0.13985678096726514,-0.07711527587824481,0.3617386430464087,-0.2582805125838608
cytobacillus,0.6865063838274444,-0.5872543139175478,0.02204869025331875,1.03676134878881,0.1965178889480134
daejeonella,0.4454496456804238,0.38260719047726305,-0.006908250281085779,-0.028875822260130482,-0.2480334301634832
dehalobacter,0.3727766835860448,-0.18054317544193912,-0.5939074317014114,0.08145133773262349,-0.21343645112456244
deinococcus,0.3870787178396647,-0.2541305904376237,-0.24347143963865245,0.6457768046528598,-0.08108271602530566
denitratisoma,0.3561292592801894,1.2350946748359732,0.3960949911002522,0.5312890454048048,-0.25418106805382845
desulfatitalea,0.3740833121504708,0.19382555116136746,-0.9180160281894744,0.08809196684534447,-0.2582805125838608
desulfitobacterium,0.36987597632354435,-0.6704604364813488,-0.20431871837405277,1.4056175522555638,-0.15380075089312942
desulfobacter,0.5132916204652013,-0.21543360880187423,-0.9105827041323346,0.1986104464469932,-0.2582805125838608
desulfobacula,0.6315145847906548,-0.5889708386382437,-0.9029993340683888,-0.9071720454385818,-0.250816070563019
desulfobulbus,0.48507490096846123,0.224979846841296,-1.282967846032084,0.2944424932065855,-0.2582805125838608
desulfocapsa,0.4189513067673037,-0.44665520052785507,-0.7127081647990173,-0.32052964659707334,-0.254340233082435
desulfomicrobium,0.49962462155292553,-0.42624742686585043,-1.0615870529039961,-0.7109179647925412,-0.25359579747478184
desulfoprunum,0.3885125620845591,0.7550247259921485,-0.49856989509250677,-0.7330240425182437,-0.2582805125838608
desulforhopalus,0.48050871373859555,0.023329323932407168,-0.42645606032677036,-0.6024712172465079,-0.25127869843450434
desulfosarcina,0.47411254459012264,-0.6159038261988772,-0.9975286219020523,-0.7619944524100816,-0.2582805125838608
desulfosporosinus,0.464676728351103,-0.694795910141536,-0.46371885330323515,0.5870059708023849,-0.20472728343333912
desulfotomaculum,0.5548769407700646,0.04253325183917755,-0.49431913579770215,0.6136777414540472,-0.19090955746101898
desulfovibrio,0.44035291553591227,0.05609960842771366,-0.9243944692481891,-0.5726195403089916,-0.04315927441277533
desulfurivibrio,0.4625566582918129,2.231125399307152,-0.33955816183857773,-0.0245465309243325,-0.24886490075938142
desulfuromonas,0.4447453931923003,0.25669063481332477,-0.8257264439510955,-0.42587208693950085,-0.2582805125838608
devosia,0.6151150225854168,-0.49052556629727273,-0.0569709012479936,-0.5214641050025789,0.00684115129220358
dialister,0.3594338966164928,-0.10595126522037313,-0.064741096738636,0.28871987236694285,0.20162687099105456
dickeya,0.49542440972948154,0.8579868417550223,-0.0048207456808257755,0.07575760682185646,-0.06794376427168172
dietzia,0.34839785142022117,-0.06860511495045081,0.3254485024826792,0.9020355419707405,-0.13638510727116407
dokdonella,0.6335095022834903,0.9703913025876275,0.5597227670680903,-0.11351394854305068,-0.22409174347829627
dokdonia,0.5252083789502152,0.08798847432637331,-0.4740265024495843,-0.28468206474619845,-0.2340810882368101
domibacillus,0.645862312553073,-0.3436571279478087,-0.08412182290161675,1.7806357672261537,-0.22714889368776758
dorea,0.28817939627588707,-0.738201359167209,1.3475481528289737,0.6675488966192583,-0.07435242879180244
duncaniella,0.5178993192603525,0.11909364324930494,-0.2009808819719934,-1.211755334679103,-0.1137468213006574
duodenibacillus,0.36618435853527215,0.8454645144632075,-0.6265945952374541,-0.653400730708099,-0.24062064964568758
dyadobacter,0.5892289689440988,-0.989165630368551,-0.4526964261391091,-0.9302602469634433,-0.22112372465016628
dyella,0.6290743017988137,-0.12723895099944657,0.521269478125365,-0.23364559944210134,-0.2211280225058549
dysgonomonas,0.5367570098755208,-0.3319006199885091,-0.5638149969739932,-1.0014954057283427,-0.15987165153939842
echinicola,0.4524626169691696,-0.46102622564285106,0.0033873537600108655,-0.19651298086591137,-0.25226375155700187
edaphobacter,0.45344228336315534,0.13822445327011387,-0.22731936675969758,-0.18945838348121083,-0.2514322470307982
effusibacillus,0.4733448366107062,-0.2012323916332231,0.3667132152353732,2.1570148071718074,-0.2582805125838608
eisenbergiella,0.23136410674021474,-1.44975995957339,-0.872752118845092,-1.0776057367886427,-0.0006019617977053955
emergencia,0.4830092058745284,-1.365751993607496,-0.7480392439990515,-0.956940979596557,-0.17584144154089537
emticicia,0.6230047653517508,-0.744139623548826,-0.11802833024527272,-0.5551001131595635,-0.24828449805179972
endomicrobium,0.7001758355897258,0.5445568743585085,-0.053066648628821954,-1.2008394666263937,-0.2582805125838608
endozoicomonas,0.3251737777750725,-0.8191094298387259,-0.7054790545293735,-1.0171446128699935,-0.23046678258327563
enterocloster,0.3927186167745974,-1.4251951865856396,-0.7816506842798715,-1.0430784431502078,0.33976389640132504
enterococcus,0.501842390540906,-0.25270181839366024,-0.32627616463827924,-0.28373609039518843,1.2046873881078801
enterovibrio,0.21335119101783648,-0.21910726726654559,-0.5124695916504878,-0.42425910445305803,-0.22665090074968264
erwinia,0.6313045924211823,0.47786337704315585,-0.05358191223580011,0.44170955898592495,0.05911473761918958
erysipelothrix,0.33678688509125587,0.3419156231755731,1.0537256177562069,-0.7495533456326955,-0.12871769565676963
erythrobacter,0.5779613082003392,0.6099276000432953,0.1918783027572558,0.1940148488906601,-0.14389231853380122
escherichia,0.5065789470522745,0.37647341913834026,0.16963051788725703,0.31685947625525235,1.4758891285083324
eubacterium,0.3833400110298017,-1.0652938556693905,-1.047299103191745,-0.46443625152199614,-0.11381259155440382
facklamia,0.11048427312481209,1.0166955178037038,1.0757609363200256,-0.35482303650224095,-0.18895617923095712
faecalibacterium,0.45233070696323313,-0.9241023379739967,-0.27203870164070715,-1.0446245278091515,0.7433783145456002
faecalimonas,0.4683224226096147,-1.0791413927433646,-0.15040152375175708,-1.0548171815446878,0.1265550980262524
ferrimonas,0.46606641339579213,0.584568240305832,0.17368254518735757,-0.7113358759605615,-0.24657305962408807
