genus_lower,mean_B_soil_std,n_otus
rhodopseudomonas,0.6201126948756657,9
rhodovastum,0.5068540115922929,8
rhodovulum,0.6415559693323225,15
rickettsia,0.613751278891231,9
robiginitalea,0.5780398810991689,7
rodentibacter,0.33254810933336293,6
romboutsia,0.48637059074386024,18
roseburia,0.33182210768959686,52
roseiarcus,0.36479387286547477,8
roseibacterium,0.5867763519132959,6
roseiflexus,0.21878801099030315,5
roseivirga,0.3893706450801086,9
roseivivax,0.4216887834821227,5
roseomonas,0.5061003418787824,46
roseovarius,0.5087487412789228,22
rothia,0.429005280941731,26
rubellimicrobium,0.39983771286911896,17
rubinisphaera,0.5245625816911058,7
rubritalea,0.2727146879814807,10
rubrobacter,0.4514332482949554,31
rudaea,0.5944815800307418,11
ruegeria,0.4941287142811694,8
rufibacter,0.26574404021369114,9
ruminiclostridium,0.31040326796391327,5
ruminococcus,0.4303810140469673,51
runella,0.5904084226455253,8
ruthenibacterium,0.5320506107239884,10
saccharicrinis,0.38821500633038586,5
saccharofermentans,0.46356453758016763,5
saccharomonospora,0.5273746792811326,8
saccharopolyspora,0.5400384943826115,19
saccharospirillum,0.6189257053382212,5
salegentibacter,0.4893758678809536,7
salinibacter,0.19619563901405945,11
salinicoccus,0.2557782583890296,9
salinicola,0.3901628494886822,5
salinimicrobium,0.5031572837772694,14
salinirepens,0.5320286559038715,11
salinirussus,0.23167817874270638,5
salinisphaera,0.5134278368943588,6
salinivenus,0.293148237311834,16
saliphagus,0.34071195726688736,6
salmonella,0.35517317611204086,25
sandaracinobacter,0.4216352843773753,5
sandaracinus,0.6571100275095229,11
schaalia,0.38057197640095336,14
schlesneria,0.4977598371639451,6
schnuerera,0.6898841195409371,5
sediminibacter,0.7095784043630168,5
sediminibacterium,0.5621968375163328,19
segetibacter,0.5185697069126441,32
selenomonas,0.3077690989109211,26
serratia,0.5321898466545881,43
shewanella,0.5180014173814038,39
siccationidurans,0.584687155594124,17
sideroxydans,0.32254181384524316,39
simplicispira,0.6561325192250641,6
singulisphaera,0.6092516783047313,43
sinimarinibacterium,0.5223748377703263,5
sinorhizobium,0.5979539322170964,9
skermanella,0.6393873533699287,7
slackia,0.16859318784754937,7
sneathiella,0.5514271494624051,7
solibacillus,0.6915152905699923,5
solimonas,0.6960439977797399,8
solirubrobacter,0.5923228162552879,30
sorangium,0.5846566304416284,6
sphaerisporangium,0.5158154875648016,6
sphaerochaeta,0.6793267665658097,6
sphingoaurantiacus,0.46208031649768644,5
sphingobacterium,0.5398044624688473,66
sphingobium,0.6303152717725025,27
sphingomonas,0.5327885036503277,168
sphingopyxis,0.6265548198825109,11
sphingorhabdus,0.6854590703282836,11
spirochaeta,0.5932960565932242,14
spiroplasma,0.5552693212086115,10
spirosoma,0.5366690423071296,46
sporichthya,0.660171463560745,21
sporobacter,0.4130382786891801,21
sporolactobacillus,0.5910014281347359,6
sporomusa,0.43382126491510326,15
sporosarcina,0.6099848430371752,16
stackebrandtia,0.42231679661211247,6
stanieria,0.3331636524317917,5
staphylococcus,0.3755869212783757,164
