orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
Methanococcus_S2	MMP_RS00060	MMP_RS00060		3-dehydroquinate synthase II	MMP_RS08660	MMP_RS08660		DHH family phosphoesterase	20	0.341390145783187	FALSE
Methanococcus_S2	MMP_RS00080	MMP_RS00080		RecB-family nuclease	MMP_RS04040	MMP_RS04040		hypothetical protein	1	0.360380396748855	FALSE
Methanococcus_S2	MMP_RS00080	MMP_RS00080		RecB-family nuclease	MMP_RS01240	MMP_RS01240		7-cyano-7-deazaguanine synthase QueC	2	0.340703240950667	FALSE
Methanococcus_S2	MMP_RS00080	MMP_RS00080		RecB-family nuclease	MMP_RS03735	MMP_RS03735		indolepyruvate ferredoxin oxidoreductase subunit alpha	3	0.335621188251386	FALSE
Methanococcus_S2	MMP_RS00080	MMP_RS00080		RecB-family nuclease	MMP_RS00705	MMP_RS00705		hypothetical protein	4	0.32681772342367	FALSE
Methanococcus_S2	MMP_RS00080	MMP_RS00080		RecB-family nuclease	MMP_RS01260	MMP_RS01260		HDIG domain-containing protein	5	0.312666363299595	FALSE
Methanococcus_S2	MMP_RS00080	MMP_RS00080		RecB-family nuclease	MMP_RS01420	MMP_RS01420		hypothetical protein	6	0.311027212926999	FALSE
Methanococcus_S2	MMP_RS00080	MMP_RS00080		RecB-family nuclease	MMP_RS03985	MMP_RS03985		hypothetical protein	7	0.300277183100338	FALSE
Methanococcus_S2	MMP_RS00080	MMP_RS00080		RecB-family nuclease	MMP_RS04150	MMP_RS04150		MFS transporter	8	0.289332262106928	FALSE
Methanococcus_S2	MMP_RS00080	MMP_RS00080		RecB-family nuclease	MMP_RS05560	MMP_RS05560		deoxyuridine 5'-triphosphate nucleotidohydrolase	9	0.279735961455936	FALSE
Methanococcus_S2	MMP_RS00080	MMP_RS00080		RecB-family nuclease	MMP_RS01525	MMP_RS01525		nucleoside-diphosphate kinase	10	0.278223121403127	FALSE
Methanococcus_S2	MMP_RS00080	MMP_RS00080		RecB-family nuclease	MMP_RS03225	MMP_RS03225		acetolactate decarboxylase	11	0.277941457144973	FALSE
Methanococcus_S2	MMP_RS00080	MMP_RS00080		RecB-family nuclease	MMP_RS05535	MMP_RS05535		hypothetical protein	12	0.277395491456759	FALSE
Methanococcus_S2	MMP_RS00080	MMP_RS00080		RecB-family nuclease	MMP_RS04735	MMP_RS04735		tautomerase family protein	13	0.271973490291763	FALSE
Methanococcus_S2	MMP_RS00080	MMP_RS00080		RecB-family nuclease	MMP_RS06045	MMP_RS06045		DNA polymerase	14	0.271120822713386	FALSE
Methanococcus_S2	MMP_RS00080	MMP_RS00080		RecB-family nuclease	MMP_RS03330	MMP_RS03330		rubrerythrin family protein	15	0.268608264928269	FALSE
Methanococcus_S2	MMP_RS00080	MMP_RS00080		RecB-family nuclease	MMP_RS00060	MMP_RS00060		3-dehydroquinate synthase II	16	0.266437375721539	FALSE
Methanococcus_S2	MMP_RS00080	MMP_RS00080		RecB-family nuclease	MMP_RS00545	MMP_RS00545		XRE family transcriptional regulator	17	0.262896949844028	FALSE
Methanococcus_S2	MMP_RS00080	MMP_RS00080		RecB-family nuclease	MMP_RS02895	MMP_RS02895		DHH family phosphoesterase	18	0.262812903211223	FALSE
Methanococcus_S2	MMP_RS00080	MMP_RS00080		RecB-family nuclease	MMP_RS04180	MMP_RS04180		iron-containing alcohol dehydrogenase	19	0.26261822001952	FALSE
Methanococcus_S2	MMP_RS00080	MMP_RS00080		RecB-family nuclease	MMP_RS02775	MMP_RS02775		hypothetical protein	20	0.261601525207799	FALSE
