orgId	locusId	sysName	geneName	desc	set1IT067 CPG	set1IT068 M63_quarter_strength	set1IT071 CPG	set1IT072 M63_quarter_strength	set2IT036 CPG	set2IT037 M63_quarter_strength
RalstoniaUW163	UW163_RS01060	UW163_RS01060		pilus assembly protein TadB	-0.224	0.248	-0.078	0.040	-0.070	0.189
RalstoniaUW163	UW163_RS01065	UW163_RS01065		type II secretion system protein	0.081	0.134	-0.065	-0.022	-0.186	0.020
RalstoniaUW163	UW163_RS01070	UW163_RS01070		membrane protein	-0.258	0.034	0.159	-0.135	-0.269	0.067
RalstoniaUW163	UW163_RS01075	UW163_RS01075		membrane protein	0.017	-0.037	0.072	-0.009	0.116	-0.138
RalstoniaUW163	UW163_RS01080	UW163_RS01080		DUF2029 domain-containing protein	0.078	-0.027	-0.028	-0.042	-0.059	-0.268
RalstoniaUW163	UW163_RS01085	UW163_RS01085		glycosyltransferase	0.145	0.039	-0.235	0.043	-0.175	-0.125
RalstoniaUW163	UW163_RS01090	UW163_RS01090		MFS transporter	-0.043	0.188	-0.030	-0.154	-0.121	0.007
RalstoniaUW163	UW163_RS01095	UW163_RS01095		membrane protein	-0.048	-0.055	-0.031	0.237	-0.026	0.028
RalstoniaUW163	UW163_RS01100	UW163_RS01100		hypothetical protein	0.029	-0.018	-0.089	0.035	0.077	0.065
RalstoniaUW163	UW163_RS01110	UW163_RS01110		peptidase M48	-0.078	0.004	-0.095	-0.098	0.266	0.177
RalstoniaUW163	UW163_RS01115	UW163_RS01115		DUF898 domain-containing protein	-0.125	0.002	-0.039	0.198	0.045	-0.051
RalstoniaUW163	UW163_RS01130	UW163_RS01130		hypothetical protein	0.078	0.076	0.056	-0.079	-0.079	0.012
RalstoniaUW163	UW163_RS01135	UW163_RS01135		Hsp70 family protein	0.107	0.146	-0.043	0.033	0.063	0.016
RalstoniaUW163	UW163_RS01140	UW163_RS01140		transposase	0.082	0.223	-0.149	-0.210	-0.056	-0.175
RalstoniaUW163	UW163_RS01145	UW163_RS01145		IS3 family transposase	-0.066	0.079	-0.102	0.099	-0.038	0.100
RalstoniaUW163	UW163_RS01150	UW163_RS01150		recombination-associated protein RdgC	-0.069	-0.195	0.035	0.070	0.199	0.212
RalstoniaUW163	UW163_RS01160	UW163_RS01160		HD domain-containing protein	0.075	-0.130	-0.029	-0.041	0.162	0.141
RalstoniaUW163	UW163_RS01165	UW163_RS01165		hypothetical protein	0.341	-0.170	-0.125	0.150	0.049	-0.370
RalstoniaUW163	UW163_RS01170	UW163_RS01170		hypothetical protein	0.119	0.103	0.123	-0.260	0.178	-0.029
RalstoniaUW163	UW163_RS01190	UW163_RS01190		hypothetical protein	-0.064	0.038	0.165	0.271	0.133	0.074
RalstoniaUW163	UW163_RS01195	UW163_RS01195		hypothetical protein	0.049	0.015	0.039	-0.050	-0.001	0.015
RalstoniaUW163	UW163_RS01200	UW163_RS01200		FAD:protein FMN transferase	-0.077	0.077	-0.140	-0.157	-0.132	-0.029
RalstoniaUW163	UW163_RS01205	UW163_RS01205		FMN-binding protein	-0.081	-0.013	-0.259	-0.053	0.220	0.021
RalstoniaUW163	UW163_RS01210	UW163_RS01210		hypothetical protein	-0.024	0.046	0.054	0.052	0.008	-0.062
RalstoniaUW163	UW163_RS01215	UW163_RS01215		hypothetical protein	-0.034	0.018	-0.057	0.009	0.068	0.025
RalstoniaUW163	UW163_RS01220	UW163_RS01220		type III effector protein	0.044	0.106	0.153	0.013	0.084	0.028
RalstoniaUW163	UW163_RS01235	UW163_RS01235		short-chain dehydrogenase	-0.158	-0.201	-0.042	0.025	-0.309	-0.041
RalstoniaUW163	UW163_RS01240	UW163_RS01240		membrane protein	0.234	0.312	0.094	0.100	0.050	0.006
RalstoniaUW163	UW163_RS01245	UW163_RS01245		TetR/AcrR family transcriptional regulator	-0.039	-0.021	-0.115	0.027	-0.114	-0.159
RalstoniaUW163	UW163_RS01250	UW163_RS01250		glutathione S-transferase family protein	0.098	0.146	0.204	0.065	0.038	-0.037
RalstoniaUW163	UW163_RS01255	UW163_RS01255		methyl-accepting chemotaxis protein	-0.062	0.096	0.059	0.399	-0.162	-0.273
RalstoniaUW163	UW163_RS01260	UW163_RS01260		S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase	-0.087	0.085	-0.024	0.095	-0.274	0.078
RalstoniaUW163	UW163_RS01265	UW163_RS01265		S-formylglutathione hydrolase	-0.062	-0.076	-0.392	0.007	-0.320	0.087
RalstoniaUW163	UW163_RS01275	UW163_RS01275		paraquat-inducible membrane protein A	0.068	0.058	0.319	-0.030	-0.099	0.035
RalstoniaUW163	UW163_RS01280	UW163_RS01280		paraquat-inducible protein A	-0.020	-0.268	0.228	0.305	0.320	0.256
RalstoniaUW163	UW163_RS01285	UW163_RS01285		MCE family protein	0.016	0.074	0.111	0.167	-0.212	0.016
RalstoniaUW163	UW163_RS01290	UW163_RS01290		hypothetical protein	-0.097	0.227	0.271	0.256	-0.008	-0.056
RalstoniaUW163	UW163_RS01295	UW163_RS01295		PLP-dependent aminotransferase family protein	0.050	0.021	0.069	-0.010	0.088	0.057
RalstoniaUW163	UW163_RS01310	UW163_RS01310		hypothetical protein	0.030	0.135	0.198	-0.014	-0.105	0.261
RalstoniaUW163	UW163_RS01315	UW163_RS01315		TonB-dependent receptor	-0.026	-0.000	-0.033	0.104	-0.012	-0.043
RalstoniaUW163	UW163_RS01325	UW163_RS01325		hypothetical protein	0.098	0.071	0.043	-0.045	-0.106	-0.029
RalstoniaUW163	UW163_RS01330	UW163_RS01330		HD-GYP domain-containing protein	0.006	0.129	-0.044	-0.066	0.011	-0.017
RalstoniaUW163	UW163_RS01335	UW163_RS01335		hypothetical protein	-0.020	-0.182	-0.094	-0.182	-0.091	-0.220
RalstoniaUW163	UW163_RS01340	UW163_RS01340		MarR family transcriptional regulator	0.084	-0.029	0.224	0.465	-0.108	0.049
RalstoniaUW163	UW163_RS01345	UW163_RS01345		flavin-dependent oxidoreductase	0.148	0.073	0.104	-0.023	0.102	0.073
RalstoniaUW163	UW163_RS01350	UW163_RS01350		amidase	0.003	0.131	0.263	-0.206	-0.269	-0.271
RalstoniaUW163	UW163_RS01355	UW163_RS01355		diguanylate cyclase	-0.065	-0.044	-0.086	0.075	-0.029	-0.140
