orgId	carbon_source	cpd_id	growth_rate	fba_status	predicted_growth	observed_growth	correct
Dino	L-Fucose	cpd00751	1.391351	optimal	True	False	False
Dino	Trisodium citrate dihydrate	cpd00137	2.643567	optimal	True	True	True
Dino	Potassium acetate	cpd00029	1.808757	optimal	True	False	False
Dino	L-Rhamnose monohydrate	cpd00396	1.391351	optimal	True	True	True
Dino	D-Sorbitol	cpd00588	3.060973	optimal	True	False	False
Dino	D-Galactose	cpd00108	1.391351	optimal	True	False	False
Dino	D-Cellobiose	cpd00158	4.730594	optimal	True	False	False
Dino	D-Mannose	cpd00138	3.060973	optimal	True	False	False
Dino	D-Gluconic Acid sodium salt	cpd00222	1.391351	optimal	True	False	False
Dino	D-Ribose	cpd00105	2.782702	optimal	True	False	False
Dino	D-Raffinose pentahydrate	cpd30716	1.391351	optimal	True	False	False
Dino	m-Inositol	cpd00121	1.391351	optimal	True	False	False
Dino	L-Glutamic acid monopotassium salt monohydrate	cpd00023	1.687587	optimal	True	True	True
Dino	Sodium Fumarate dibasic	cpd00106	2.226162	optimal	True	True	True
Dino	Sodium propionate	cpd00141	1.391351	optimal	True	True	True
Dino	D-Glucosamine Hydrochloride	cpd00276	3.060973	optimal	True	False	False
Dino	a-Cyclodextrin	cpd24451	1.391351	optimal	True	False	False
Dino	Ethanol	cpd00363	1.808757	optimal	True	False	False
Dino	D-Glucose-6-Phosphate sodium salt	cpd00079	3.060973	optimal	True	False	False
Dino	D-Galacturonic Acid monohydrate	cpd00280	1.391351	optimal	True	False	False
Dino	L-Alanine	cpd00035	2.226162	optimal	True	False	False
Dino	L-Asparagine	cpd00132	1.415041	optimal	True	False	False
Dino	Sodium butyrate	cpd00211	1.391351	optimal	True	False	False
Dino	L-Leucine	cpd00107	1.484245	optimal	True	False	False
Dino	L-Arabinose	cpd00224	1.391351	optimal	True	False	False
Marino	Sodium pyruvate	cpd00020	3.900337	optimal	True	True	True
Marino	Sodium D,L-Lactate	cpd00159	3.900337	optimal	True	True	True
Marino	L-Glutamine	cpd00053	4.157601	optimal	True	False	False
Marino	L-Malic acid disodium salt monohydrate	cpd00130	3.900337	optimal	True	True	True
Marino	Sodium succinate dibasic hexahydrate	cpd00036	3.900337	optimal	True	True	True
Marino	Sodium L-Lactate	cpd00159	3.900337	optimal	True	True	True
Marino	D-Fructose	cpd00082	4.550393	optimal	True	False	False
Marino	D-Glucose	cpd00027	4.875421	optimal	True	False	False
Marino	Sodium D-Lactate	cpd00221	3.250281	optimal	True	True	True
Marino	N-Acetyl-D-Glucosamine	cpd00122	3.250281	optimal	True	False	False
Marino	D-Maltose monohydrate	cpd00179	6.500562	optimal	True	False	False
Marino	Glycerol	cpd00100	3.900337	optimal	True	True	True
Marino	a-Ketoglutaric acid disodium salt hydrate	cpd00024	4.157601	optimal	True	True	True
Marino	D-Xylose	cpd00154	3.250281	optimal	True	False	False
Marino	L-Proline	cpd00129	4.157601	optimal	True	True	True
Marino	D-Trehalose dihydrate	cpd00794	3.250281	optimal	True	True	True
Marino	L-Fucose	cpd00751	3.250281	optimal	True	False	False
Marino	Trisodium citrate dihydrate	cpd00137	4.157601	optimal	True	True	True
Marino	Potassium acetate	cpd00029	3.900337	optimal	True	True	True
Marino	L-Rhamnose monohydrate	cpd00396	3.250281	optimal	True	False	False
Marino	D-Sorbitol	cpd00588	3.250281	optimal	True	False	False
Marino	D-Galactose	cpd00108	3.250281	optimal	True	False	False
Marino	D-Cellobiose	cpd00158	3.250281	optimal	True	False	False
Marino	D-Mannose	cpd00138	4.875421	optimal	True	False	False
Marino	D-Gluconic Acid sodium salt	cpd00222	3.250281	optimal	True	False	False
Marino	D-Ribose	cpd00105	3.250281	optimal	True	False	False
Marino	D-Raffinose pentahydrate	cpd30716	3.250281	optimal	True	False	False
Marino	m-Inositol	cpd00121	3.250281	optimal	True	False	False
