orgId	carbon_source	cpd_id	observed_growth	status	growth_after_gf	n_gapfilled_rxns	gapfilled_rxns
HerbieS	D-Ribose	cpd00105	True	already_grows	5.5382	0	
HerbieS	D-Raffinose pentahydrate	cpd30716	False	already_grows	4.1738	0	
HerbieS	m-Inositol	cpd00121	True	already_grows	4.1738	0	
HerbieS	L-Glutamic acid monopotassium salt monohydrate	cpd00023	False	already_grows	5.2177	0	
HerbieS	Sodium Fumarate dibasic	cpd00106	False	already_grows	5.0085	0	
HerbieS	Sodium propionate	cpd00141	False	already_grows	4.5912	0	
HerbieS	D-Glucosamine Hydrochloride	cpd00276	False	already_grows	5.7512	0	
HerbieS	a-Cyclodextrin	cpd24451	False	already_grows	4.1738	0	
HerbieS	Ethanol	cpd00363	False	already_grows	4.5912	0	
HerbieS	D-Glucose-6-Phosphate sodium salt	cpd00079	True	already_grows	5.7512	0	
HerbieS	D-Galacturonic Acid monohydrate	cpd00280	True	already_grows	4.1738	0	
HerbieS	L-Alanine	cpd00035	False	already_grows	5.0085	0	
HerbieS	L-Asparagine	cpd00132	True	already_grows	5.0085	0	
HerbieS	Sodium butyrate	cpd00211	False	already_grows	4.1738	0	
HerbieS	L-Leucine	cpd00107	False	already_grows	4.4524	0	
HerbieS	L-Arabinose	cpd00224	True	already_grows	4.1738	0	
Cup4G11	Sodium pyruvate	cpd00020	True	gapfilled	0.8304	7	EX_cpd15378_e0;rxn03436_c0;rxn10030_c0;rxn12376_c0;rxn09310_c0;rxn02185_c0;rxn41185_c0
Cup4G11	Sodium D,L-Lactate	cpd00159	True	gapfilled	0.8304	1	rxn01057_c0
Cup4G11	L-Glutamine	cpd00053	True	already_grows	0.8649	0	
Cup4G11	L-Malic acid disodium salt monohydrate	cpd00130	True	already_grows	0.8304	0	
Cup4G11	Sodium succinate dibasic hexahydrate	cpd00036	True	already_grows	0.8304	0	
Cup4G11	Sodium L-Lactate	cpd00159	True	already_grows	0.8304	0	
Cup4G11	D-Fructose	cpd00082	True	already_grows	1.6609	0	
Cup4G11	D-Glucose	cpd00027	False	already_grows	1.6609	0	
Cup4G11	Sodium D-Lactate	cpd00221	True	already_grows	0.8304	0	
Cup4G11	N-Acetyl-D-Glucosamine	cpd00122	False	not_observed	0.0	0	
Cup4G11	D-Maltose monohydrate	cpd00179	False	not_observed	0.0	0	
Cup4G11	Glycerol	cpd00100	False	already_grows	0.8304	0	
Cup4G11	a-Ketoglutaric acid disodium salt hydrate	cpd00024	True	already_grows	0.8649	0	
Cup4G11	D-Xylose	cpd00154	False	not_observed	0.0	0	
Cup4G11	L-Proline	cpd00129	True	already_grows	0.8649	0	
Cup4G11	D-Trehalose dihydrate	cpd00794	False	already_grows	3.3218	0	
Cup4G11	L-Fucose	cpd00751	False	not_observed	0.0	0	
Cup4G11	Trisodium citrate dihydrate	cpd00137	True	already_grows	1.2457	0	
Cup4G11	Potassium acetate	cpd00029	False	already_grows	0.4152	0	
Cup4G11	L-Rhamnose monohydrate	cpd00396	False	not_observed	0.0	0	
Cup4G11	D-Sorbitol	cpd00588	False	not_observed	0.0	0	
Cup4G11	D-Galactose	cpd00108	False	not_observed	0.0	0	
Cup4G11	D-Cellobiose	cpd00158	False	already_grows	3.3218	0	
Cup4G11	D-Mannose	cpd00138	False	already_grows	1.6609	0	
Cup4G11	D-Gluconic Acid sodium salt	cpd00222	True	already_grows	1.6609	0	
Cup4G11	D-Ribose	cpd00105	False	not_observed	0.0	0	
Cup4G11	D-Raffinose pentahydrate	cpd30716	False	not_observed	0.0	0	
Cup4G11	m-Inositol	cpd00121	False	not_observed	0.0	0	
Cup4G11	L-Glutamic acid monopotassium salt monohydrate	cpd00023	False	already_grows	0.8649	0	
Cup4G11	Sodium Fumarate dibasic	cpd00106	False	already_grows	0.8304	0	
Cup4G11	Sodium propionate	cpd00141	True	already_grows	0.8304	0	
Cup4G11	D-Glucosamine Hydrochloride	cpd00276	False	already_grows	1.6609	0	
Cup4G11	a-Cyclodextrin	cpd24451	False	not_observed	0.0	0	
Cup4G11	Ethanol	cpd00363	True	already_grows	0.4152	0	
Cup4G11	D-Glucose-6-Phosphate sodium salt	cpd00079	False	already_grows	1.6609	0	
Cup4G11	D-Galacturonic Acid monohydrate	cpd00280	False	not_observed	0.0	0	
Cup4G11	L-Alanine	cpd00035	True	already_grows	0.8304	0	
Cup4G11	L-Asparagine	cpd00132	True	already_grows	0.8304	0	
Cup4G11	Sodium butyrate	cpd00211	True	gapfilled	40.5375	6	DM_cpd15302_c0;rxn06096_c0;rxn09952_c0;rxn09989_c0;rxn09399_c0;rxn05740_c0
Cup4G11	L-Leucine	cpd00107	True	already_grows	40.794	0	
Cup4G11	L-Arabinose	cpd00224	False	already_grows	40.5238	0	
Dino	Sodium pyruvate	cpd00020	True	gapfilled	0.8348	22	EX_cpd15378_e0;DM_cpd02701_c0;rxn03436_c0;rxn00340_c0;rxn10030_c0;rxn01438_c0;rxn10213_c0;rxn01927_c0;rxn02402_c0;rxn12376_c0;rxn01539_c0;rxn02312_c0;rxn09310_c0;rxn02277_c0;rxn02185_c0;rxn16573_c0;rxn15949_c0;rxn41452_c0;rxn21864_c0;rxn15947_c0;rxn17731_c0;rxn20627_c0
Dino	Sodium D,L-Lactate	cpd00159	True	already_grows	0.8348	0	
Dino	L-Glutamine	cpd00053	True	gapfilled	1.6876	1	rxn11285_c0
Dino	L-Malic acid disodium salt monohydrate	cpd00130	True	already_grows	2.2262	0	
Dino	Sodium succinate dibasic hexahydrate	cpd00036	True	already_grows	2.2262	0	
Dino	Sodium L-Lactate	cpd00159	True	already_grows	2.2262	0	
Dino	D-Fructose	cpd00082	False	already_grows	3.061	0	
Dino	D-Glucose	cpd00027	True	already_grows	3.061	0	
Dino	Sodium D-Lactate	cpd00221	True	already_grows	2.2262	0	
Dino	N-Acetyl-D-Glucosamine	cpd00122	False	already_grows	1.3914	0	
Dino	D-Maltose monohydrate	cpd00179	True	already_grows	4.7306	0	
Dino	Glycerol	cpd00100	True	already_grows	2.2262	0	
Dino	a-Ketoglutaric acid disodium salt hydrate	cpd00024	True	already_grows	1.6876	0	
Dino	D-Xylose	cpd00154	False	already_grows	2.7827	0	
Dino	L-Proline	cpd00129	False	already_grows	1.6876	0	
Dino	D-Trehalose dihydrate	cpd00794	True	already_grows	1.4394	0	
Dino	L-Fucose	cpd00751	False	already_grows	1.3914	0	
Dino	Trisodium citrate dihydrate	cpd00137	True	already_grows	2.6436	0	
Dino	Potassium acetate	cpd00029	False	already_grows	1.8088	0	
Dino	L-Rhamnose monohydrate	cpd00396	True	already_grows	1.3914	0	
Dino	D-Sorbitol	cpd00588	False	already_grows	3.061	0	
Dino	D-Galactose	cpd00108	False	already_grows	1.3914	0	
Dino	D-Cellobiose	cpd00158	False	already_grows	4.7306	0	
Dino	D-Mannose	cpd00138	False	already_grows	3.061	0	
Dino	D-Gluconic Acid sodium salt	cpd00222	False	already_grows	1.3914	0	
Dino	D-Ribose	cpd00105	False	already_grows	2.7827	0	
Dino	D-Raffinose pentahydrate	cpd30716	False	already_grows	1.3914	0	
Dino	m-Inositol	cpd00121	False	already_grows	1.3914	0	
Dino	L-Glutamic acid monopotassium salt monohydrate	cpd00023	True	already_grows	1.6876	0	
Dino	Sodium Fumarate dibasic	cpd00106	True	already_grows	2.2262	0	
Dino	Sodium propionate	cpd00141	True	already_grows	1.3914	0	
Dino	D-Glucosamine Hydrochloride	cpd00276	False	already_grows	3.061	0	
Dino	a-Cyclodextrin	cpd24451	False	already_grows	1.3914	0	
Dino	Ethanol	cpd00363	False	already_grows	1.8088	0	
Dino	D-Glucose-6-Phosphate sodium salt	cpd00079	False	already_grows	3.061	0	
Dino	D-Galacturonic Acid monohydrate	cpd00280	False	already_grows	1.3914	0	
Dino	L-Alanine	cpd00035	False	already_grows	2.2262	0	
Dino	L-Asparagine	cpd00132	False	already_grows	1.415	0	
Dino	Sodium butyrate	cpd00211	False	already_grows	1.3914	0	
Dino	L-Leucine	cpd00107	False	already_grows	1.4842	0	
Dino	L-Arabinose	cpd00224	False	already_grows	1.3914	0	
Marino	Sodium pyruvate	cpd00020	True	gapfilled	3.9003	13	EX_cpd15378_e0;rxn03436_c0;rxn02160_c0;rxn00656_c0;rxn12376_c0;rxn09310_c0;rxn00551_c0;rxn02185_c0;rxn00467_c0;rxn05464_c0;rxn15949_c0;rxn15947_c0;rxn20627_c0
Marino	Sodium D,L-Lactate	cpd00159	True	already_grows	3.9003	0	
Marino	L-Glutamine	cpd00053	False	already_grows	4.1576	0	
Marino	L-Malic acid disodium salt monohydrate	cpd00130	True	already_grows	3.9003	0	
