genus,n_habitats,count_breadth_raw,count_breadth_std,weighted_breadth,shannon_breadth_std,cooccurrence_mean,cooccurrence_max,genus_lower_clean,mean_levins_B_std,gtdb_genus_lower,kingdom,count_breadth_ses,shannon_breadth_ses
perlucidibaca,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,perlucidibaca,0.2885417075658541,perlucidibaca,Bacteria,,
persicirhabdus,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,persicirhabdus,0.0987579008748235,persicirhabdus,Bacteria,,
persicitalea,2,787,0.9077277970011534,0.5419313850063533,0.9802751059369579,1.572087658592849,2,persicitalea,0.1847987517104602,persicitalea,Bacteria,,
phaeobacter,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,phaeobacter,0.0721078334245479,phaeobacter,Bacteria,,
phaeospirillum,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,phaeospirillum,0.1123246454305285,phaeospirillum,Bacteria,,
phascolarctobacterium,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,phascolarctobacterium,0.1868778545393424,phascolarctobacterium,Bacteria,,
phenylobacterium,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,phenylobacterium,0.4718250888169453,phenylobacterium,Bacteria,,
photobacterium,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,photobacterium,0.1201534899427817,photobacterium,Bacteria,,
phycicoccus,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,phycicoccus,0.4007109708544655,phycicoccus,Bacteria,,
phycisphaera,2,704,0.81199538638985,0.44957386363636365,0.9618559291207517,1.2998846597462514,2,phycisphaera,0.0754915184274502,phycisphaera,Bacteria,,
phyllobacterium,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,phyllobacterium,0.2839208690521469,phyllobacterium,Bacteria,,
pigmentiphaga,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,pigmentiphaga,0.4784819475899216,pigmentiphaga,Bacteria,,
pirellula,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,pirellula,0.455247813853673,pirellula,Bacteria,0.0,1.0
piscicoccus,3,803,0.9261822376009228,0.6447696139476962,0.9793386826591985,2.1891580161476356,3,piscicoccus,0.158089699309436,piscicoccus,Bacteria,,
planifilum,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,planifilum,0.4608259233496968,planifilum,Bacteria,,
planktothrix,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,planktothrix,0.1996763653713347,planktothrix,Bacteria,,
planomicrobium,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,planomicrobium,0.3829187303887979,,Bacteria,,
