response,ko,gene,predictor,n,lambda,beta,SE,t,p,ko_metals,resp_metal,metal_match,fdr_q
PF1_As_sd,K07665,cusR,ko_freq_K07665_z,1521,0.484345660014497,7.23051290751649e-05,0.0001784441342946,0.405197567076025,0.685389388964707,"Cu,Ni",As,False,0.685389388964707
PF1_As_sd,K07785,nrsD,ko_freq_K07785_z,1521,0.479902047231079,7.94537659519188e-05,0.0001506432674102,0.527429916502853,0.597972148046976,Ni,As,False,0.672718666552848
PF1_As_sd,K07787,cusA,ko_freq_K07787_z,1521,0.480927090137703,-0.0003262790594812,0.000247105361259,-1.32040461533837,0.186899008654275,"Cu,Ag",As,False,0.42052276947211875
PF1_As_sd,K15726,czcA,ko_freq_K15726_z,1521,0.456653961708931,-0.0006983458413846,0.0002326993185134,-3.00106526244208,0.0027342544395304,"Co,Ni,Zn,Cd",As,False,0.0123041449778868
PF1_As_sd,K17686,copA,ko_freq_K17686_z,1521,0.478140959006859,0.0002251010299957,0.0001986488222241,1.13316065746263,0.257325729850984,Cu,As,False,0.4631863137317712
PF1_As_sd,K19594,gesB,ko_freq_K19594_z,1521,0.480529860156615,0.0001176409204819,0.0001760579094455,0.668194464267232,0.504111051268259,"Cu,Au",As,False,0.672718666552848
PF1_As_sd,K19595,gesA,ko_freq_K19595_z,1521,0.480584322279219,0.0001110238772412,0.000189758032171,0.585081305761023,0.558580004001436,"Cu,Au",As,False,0.672718666552848
PF1_Cd_sd,K03325,ACR3,ko_freq_K03325_z,1521,0.372145941770852,-0.0002015397543392,0.0001330508955555,-1.51475684171672,0.130042175511746,"As,Tl",Cd,False,0.585189789802857
PF1_Cd_sd,K03446,emrB,ko_freq_K03446_z,1521,0.362423182150416,0.0001095385129801,0.0001280232568821,0.855614172360798,0.392346255365085,"Cu,Tl",Cd,False,0.7062232596571529
PF1_Cd_sd,K07665,cusR,ko_freq_K07665_z,1521,0.36608951876309,3.88226755491169e-05,0.0001160573835652,0.334512758744874,0.738038876144003,"Cu,Ni",Cd,False,0.814049889665363
PF1_Cd_sd,K07785,nrsD,ko_freq_K07785_z,1521,0.36911880811468,2.32445639230756e-05,9.88097953889386e-05,0.235245542525208,0.814049889665363,Ni,Cd,False,0.814049889665363
PF1_Cd_sd,K07787,cusA,ko_freq_K07787_z,1521,0.365095886127093,9.71137734872354e-05,0.0001579296065022,0.614918099513384,0.538700971993459,"Cu,Ag",Cd,False,0.8080514579901885
PF1_Cd_sd,K15726,czcA,ko_freq_K15726_z,1521,0.37375692006891,-6.51787886415608e-05,0.0001494229218223,-0.436203414085741,0.662751178678122,"Co,Ni,Zn,Cd",Cd,True,0.814049889665363
PF1_Cd_sd,K17686,copA,ko_freq_K17686_z,1521,0.374897929728745,-0.0004997669196165,0.0001282714474448,-3.89616652475415,0.0001019770930966,Cu,Cd,False,0.0009177938378694
PF1_Cd_sd,K19594,gesB,ko_freq_K19594_z,1521,0.36797074640852,0.0001243368992501,0.0001159827380722,1.07202934951065,0.283877250347458,"Cu,Au",Cd,False,0.6387238132817805
PF1_Cd_sd,K19595,gesA,ko_freq_K19595_z,1521,0.36785414193025,0.000148523669126,0.0001249426723961,1.18873453142728,0.23473007407192,"Cu,Au",Cd,False,0.6387238132817805
PF1_Hg_sd,K03325,ACR3,ko_freq_K03325_z,1521,0.309130116303444,-0.0001439468102441,8.22057359955814e-05,-1.75105554984493,0.0801383120691825,"As,Tl",Hg,False,0.36062240431132125
PF1_Hg_sd,K03446,emrB,ko_freq_K03446_z,1521,0.316136730337301,-5.60857180412996e-05,7.88609051617361e-05,-0.711198000153222,0.477070811991719,"Cu,Tl",Hg,False,0.8587274615850942
PF1_Hg_sd,K07665,cusR,ko_freq_K07665_z,1521,0.320784538728281,-1.88503384781766e-05,7.18968762958838e-05,-0.262185778427981,0.793213790559836,"Cu,Ni",Hg,False,0.9598395537454455
PF1_Hg_sd,K07785,nrsD,ko_freq_K07785_z,1521,0.319212982532483,-1.13692344651413e-05,6.14286315497393e-05,-0.185080379919184,0.853190714440396,Ni,Hg,False,0.9598395537454455
PF1_Hg_sd,K07787,cusA,ko_freq_K07787_z,1521,0.31868118412558,-3.09071859183188e-05,9.71271432921982e-05,-0.318213682300296,0.750366626159733,"Cu,Ag",Hg,False,0.9598395537454455
PF1_Hg_sd,K15726,czcA,ko_freq_K15726_z,1521,0.319047529260448,6.47175102275963e-07,9.16187876350733e-05,0.007063781555959,0.994364892781068,"Co,Ni,Zn,Cd",Hg,False,0.994364892781068
PF1_Hg_sd,K17686,copA,ko_freq_K17686_z,1521,0.307464243576261,-0.0003248245709094,7.93238177679757e-05,-4.09491852572683,4.44570001749205e-05,Cu,Hg,False,0.00040011300157428455
PF1_Hg_sd,K19594,gesB,ko_freq_K19594_z,1521,0.318466806471836,5.35428705142587e-05,7.22798473407901e-05,0.740771770889485,0.458946400474933,"Cu,Au",Hg,False,0.8587274615850942
PF1_Hg_sd,K19595,gesA,ko_freq_K19595_z,1521,0.31837477674613,5.88499605329415e-05,7.78544029283176e-05,0.755897654075212,0.44982783991896,"Cu,Au",Hg,False,0.8587274615850942
Zn_ICP_MS_mg_kg_0_9_sd,K03325,ACR3,ko_freq_K03325_z,1479,0.358575749463224,-0.16719430282475,0.183110346848327,-0.913079493881579,0.361349851093831,"As,Tl",Zn,False,0.6579502216174485
Zn_ICP_MS_mg_kg_0_9_sd,K03446,emrB,ko_freq_K03446_z,1479,0.36307819343254,-0.0659990858056301,0.177464470942126,-0.3719002764624,0.710020482652882,"Cu,Tl",Zn,False,0.710020482652882
Zn_ICP_MS_mg_kg_0_9_sd,K07665,cusR,ko_freq_K07665_z,1479,0.359374964773084,-0.10145935309085,0.159097068272441,-0.637719815912062,0.523754997904245,"Cu,Ni",Zn,False,0.6583117337073607
Zn_ICP_MS_mg_kg_0_9_sd,K07785,nrsD,ko_freq_K07785_z,1479,0.362684201236232,0.322950693540025,0.135010011731754,2.39204996279596,0.0168790440898999,Ni,Zn,False,0.1519113968090991
Zn_ICP_MS_mg_kg_0_9_sd,K07787,cusA,ko_freq_K07787_z,1479,0.345023058957875,0.429296427997729,0.216247145795308,1.98521199629653,0.047305714353447,"Cu,Ag",Zn,False,0.21287571459051152
Zn_ICP_MS_mg_kg_0_9_sd,K15726,czcA,ko_freq_K15726_z,1479,0.354808138571471,0.111526983785228,0.204271421812671,0.545974482360556,0.585165985517654,"Co,Ni,Zn,Cd",Zn,True,0.6583117337073607
Zn_ICP_MS_mg_kg_0_9_sd,K17686,copA,ko_freq_K17686_z,1479,0.366081578479128,-0.264196251590792,0.1779839022862,-1.4843828469721,0.137920897653648,Cu,Zn,False,0.41376269296094403
Zn_ICP_MS_mg_kg_0_9_sd,K19594,gesB,ko_freq_K19594_z,1479,0.362445663623763,-0.123025631266467,0.158801602782703,-0.774712780668908,0.438633481078299,"Cu,Au",Zn,False,0.6579502216174485
Zn_ICP_MS_mg_kg_0_9_sd,K19595,gesA,ko_freq_K19595_z,1479,0.362186727121183,-0.153631208320347,0.171069820003643,-0.898061436652448,0.369299264113479,"Cu,Au",Zn,False,0.6579502216174485
Zn_MMI_ME_mg_kg_0_02_sd,K03325,ACR3,ko_freq_K03325_z,1481,0.421295272212786,-0.0010065850918738,0.0201920291067197,-0.0498506161294528,0.960248166576412,"As,Tl",Zn,False,0.960248166576412
Zn_MMI_ME_mg_kg_0_02_sd,K03446,emrB,ko_freq_K03446_z,1481,0.416635255828258,-0.05092746889354,0.0196002490622341,-2.59830723231306,0.0094616069316813,"Cu,Tl",Zn,False,0.0484320286477062
Zn_MMI_ME_mg_kg_0_02_sd,K07665,cusR,ko_freq_K07665_z,1481,0.420377248009022,-0.0175549532853965,0.0174968344533573,-1.00332167696929,0.31586991050759,"Cu,Ni",Zn,False,0.5790728448964955
Zn_MMI_ME_mg_kg_0_02_sd,K07785,nrsD,ko_freq_K07785_z,1481,0.422313707841729,0.0121386224932898,0.0148106372852939,0.819588128415158,0.412583085253534,Ni,Zn,False,0.5790728448964955
Zn_MMI_ME_mg_kg_0_02_sd,K07787,cusA,ko_freq_K07787_z,1481,0.405128116017646,0.0612681595571305,0.0239933041219961,2.55355240968927,0.0107626730328236,"Cu,Ag",Zn,False,0.0484320286477062
