orgId	locusId	sysName	geneName	desc	set1IT076 CPG	set1IT077 M63_quarter_strength	set1IT080 CPG	set3IT039 CPG	set3IT040 M63_quarter_strength	set4IT039 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1 dpi	set4IT042 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1 dpi	set4IT045 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1 dpi
RalstoniaBSBF1503	RALBFv3_RS00910	RALBFv3_RS00910		alpha/beta hydrolase	0.031	-0.005	-0.160	-0.205	-0.465	0.310	0.002	-0.151
RalstoniaBSBF1503	RALBFv3_RS00920	RALBFv3_RS00920		DJ-1/PfpI family protein	0.625	-0.177	-1.118	-0.196	-0.416	-0.917	-0.247	0.032
RalstoniaBSBF1503	RALBFv3_RS00925	RALBFv3_RS00925		hypothetical protein	0.005	0.259	-0.213	0.050	0.021	0.040	-0.307	0.256
RalstoniaBSBF1503	RALBFv3_RS00930	RALBFv3_RS00930		GALA protein	0.209	-0.266	-0.132	-0.021	-0.151	0.107	-0.076	0.213
RalstoniaBSBF1503	RALBFv3_RS00935	RALBFv3_RS00935		GALA protein	-0.108	-0.476	0.396	0.002	-0.618	-1.287	-0.028	-0.300
RalstoniaBSBF1503	RALBFv3_RS00945	RALBFv3_RS00945		alpha-ketoacid dehydrogenase subunit beta	0.491	-0.052	0.573	-0.596	-0.089	0.277	-0.476	0.721
RalstoniaBSBF1503	RALBFv3_RS00950	RALBFv3_RS00950		pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha	-0.174	-0.327	-0.392	-0.192	-0.137	0.105	-0.141	0.059
RalstoniaBSBF1503	RALBFv3_RS00955	RALBFv3_RS00955		glutathione S-transferase	-0.347	0.462	-0.186	0.601	0.314	0.065	-0.306	0.159
RalstoniaBSBF1503	RALBFv3_RS00960	RALBFv3_RS00960		polyhydroxyalkanoate depolymerase	-0.027	0.064	0.273	-0.157	-0.216	0.148	0.089	0.097
RalstoniaBSBF1503	RALBFv3_RS00970	RALBFv3_RS00970		ABC transporter ATP-binding protein	-0.397	-0.454	-0.248	-0.215	-0.102	-0.346	0.215	-0.319
RalstoniaBSBF1503	RALBFv3_RS00975	RALBFv3_RS00975		ABC transporter permease	-0.052	-0.350	0.205	0.076	-0.039	-0.216	0.145	0.181
RalstoniaBSBF1503	RALBFv3_RS00980	RALBFv3_RS00980		ABC transporter permease	0.567	-0.093	0.080	-0.023	-0.389	0.058	-0.101	-0.182
RalstoniaBSBF1503	RALBFv3_RS00985	RALBFv3_RS00985		ABC transporter substrate-binding protein	-0.161	-0.028	0.223	-0.058	-0.260	-0.056	0.098	0.207
RalstoniaBSBF1503	RALBFv3_RS00990	RALBFv3_RS00990		LacI family transcriptional regulator	-0.127	0.296	-0.115	-0.201	0.128	-0.042	-0.321	0.279
RalstoniaBSBF1503	RALBFv3_RS00995	RALBFv3_RS00995		ergothioneine biosynthesis protein EgtB	-0.029	0.254	-0.681	-0.486	-0.247	0.081	0.099	-0.338
RalstoniaBSBF1503	RALBFv3_RS01000	RALBFv3_RS01000		hypothetical protein	-0.239	-0.005	-0.097	-0.012	-0.040	-0.014	0.038	-0.068
RalstoniaBSBF1503	RALBFv3_RS01005	RALBFv3_RS01005		ankyrin repeat domain-containing protein	-0.588	-0.187	-0.189	-0.178	0.171	-0.035	-0.062	0.128
RalstoniaBSBF1503	RALBFv3_RS01010	RALBFv3_RS01010		TatD family deoxyribonuclease	0.000	0.304	-0.194	0.167	0.298	0.173	0.163	0.137
RalstoniaBSBF1503	RALBFv3_RS01015	RALBFv3_RS01015		pilus assembly protein	0.187	-0.154	0.000	0.638	-0.423	-0.209	0.127	-0.564
RalstoniaBSBF1503	RALBFv3_RS01030	RALBFv3_RS01030		endolytic transglycosylase MltG	-0.364	-0.535	-0.499	-0.271	-0.451	0.134	-0.402	-0.433
RalstoniaBSBF1503	RALBFv3_RS01045	RALBFv3_RS01045		hypothetical protein	-0.005	0.413	-1.149	0.176	0.111	-0.071	0.194	0.179
RalstoniaBSBF1503	RALBFv3_RS01050	RALBFv3_RS01050		NAD(P)-dependent oxidoreductase	-0.252	-0.362	-0.082	-0.114	0.210	0.114	-0.044	0.041
