feature	mean_abs_shap	level	ko_id	kegg_ko	ko_desc
L2_262	0.0	L2	326.0	K01159	ruvC; crossover junction endodeoxyribonuclease RuvC [EC:3.1.22.4]
L2_263	0.0	L2	328.0	K03549	kup; KUP system potassium uptake protein
L2_264	0.0	L2	331.0	K03562	tolQ; biopolymer transport protein TolQ
L2_265	0.0	L2	332.0	K03560	tolR; biopolymer transport protein TolR
L2_266	0.0	L2	333.0	K03646	tolA; colicin import membrane protein
L2_267	0.0	L2	334.0	K03641	tolB; TolB protein
L2_207	0.0	L2	260.0	K01790	rfbC, rmlC; dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]
L2_269	0.0	L2	336.0	K10026	queE; 7-carboxy-7-deazaguanine synthase [EC:4.3.99.3]
L2_270	0.0	L2	337.0	K06920	queC; 7-cyano-7-deazaguanine synthase [EC:6.3.4.20]
L2_272	0.0	L2	339.0	K02672	pilW; type IV pilus assembly protein PilW
L2_273	0.0	L2	340.0	K02671	pilV; type IV pilus assembly protein PilV
L2_276	0.0	L2	343.0	K01886	QARS, glnS; glutaminyl-tRNA synthetase [EC:6.1.1.18]
L2_277	0.0	L2	344.0	K00759	APRT, apt; adenine phosphoribosyltransferase [EC:2.4.2.7]
L2_278	0.0	L2	345.0	K04761	oxyR; LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator
L2_279	0.0	L2	346.0	K01263	E3.4.11.14; cytosol alanyl aminopeptidase [EC:3.4.11.14]
L2_280	0.0	L2	347.0	K05973	phaZ; poly(3-hydroxybutyrate) depolymerase [EC:3.1.1.75]
L2_281	0.0	L2	349.0	K07336	K07336; PKHD-type hydroxylase [EC:1.14.11.-]
L2_282	0.0	L2	350.0	K03981	dsbC; thiol:disulfide interchange protein DsbC [EC:5.3.4.1]
L2_283	0.0	L2	352.0	K07011	K07011; uncharacterized protein
L2_284	0.0	L2	353.0	K06200	cstA; carbon starvation protein
L2_288	0.0	L2	366.0	K01095	pgpA; phosphatidylglycerophosphatase A [EC:3.1.3.27]
L2_289	0.0	L2	367.0	K00001	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]
L2_268	0.0	L2	335.0	K03640	pal; peptidoglycan-associated lipoprotein
