condition	condition_class	n	accuracy	mean_confidence	error_rate	n_uncertain	growth_rate	al_score
propionic-acid	other	330	0.6303030303030303	0.33952983704626233	0.36969696969696975	97	0.5727272727272728	0.24417381781926065
lthreonine	amino_acid	107	0.6355140186915887	0.33023547837474276	0.36448598130841126	42	0.3177570093457944	0.24411977891014053
lhistidineresidue	amino_acid	62	0.6451612903225806	0.31409996845873006	0.3548387096774194	29	0.5483870967741935	0.2433838821598055
neuraminic-acid	other	234	0.6196581196581197	0.36089408301104975	0.3803418803418803	71	0.46153846153846156	0.243078746205199
glucosamine	other	319	0.6394984326018809	0.3273708281924153	0.3605015673981191	105	0.6802507836990596	0.24248387071433306
llactate	carbon	61	0.6721311475409836	0.26335835473858865	0.3278688524590164	26	0.6721311475409836	0.24152185090538078
lactate	carbon	61	0.6721311475409836	0.26335835473858865	0.3278688524590164	26	0.639344262295082	0.24152185090538078
succinatehexa	carbon	61	0.6721311475409836	0.26335835473858865	0.3278688524590164	26	0.7704918032786885	0.24152185090538078
rpantolactone	other	61	0.6721311475409836	0.26745879547821577	0.3278688524590164	27	0.08196721311475409	0.24017744410550307
salicylate	other	61	0.6721311475409836	0.26745879547821577	0.3278688524590164	27	0.08196721311475409	0.24017744410550307
cholate	other	61	0.6721311475409836	0.26745879547821577	0.3278688524590164	27	0.04918032786885246	0.24017744410550307
5ketodgluconate	other	61	0.6721311475409836	0.26745879547821577	0.3278688524590164	27	0.2786885245901639	0.24017744410550307
butane1234tetrol	other	61	0.6721311475409836	0.26745879547821577	0.3278688524590164	27	0.14754098360655737	0.24017744410550307
31hindol3ylpropanoicacid	other	61	0.6721311475409836	0.26745879547821577	0.3278688524590164	27	0.04918032786885246	0.24017744410550307
galactonic-acid-g-lactone	other	136	0.6911764705882353	0.22635444296033444	0.3088235294117647	71	0.25735294117647056	0.23891995143872025
keto-butyric-acid	other	321	0.6386292834890965	0.3411295184285657	0.36137071651090347	97	0.5264797507788161	0.23809649801335325
pyridin2ol	other	62	0.6774193548387096	0.26447162870843577	0.32258064516129037	28	0.12903225806451613	0.2372672165456659
dalphaaminobutyricacid	other	62	0.6774193548387096	0.26447162870843577	0.32258064516129037	28	0.06451612903225806	0.2372672165456659
gammaaminobutyricacid	other	62	0.6774193548387096	0.26447162870843577	0.32258064516129037	28	0.5806451612903226	0.2372672165456659
